CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2001-01-01 00:00,mm,46.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2001-02-01 00:00,mm,20,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2001-03-01 00:00,mm,228.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2001-04-01 00:00,mm,83.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2001-05-01 00:00,mm,136.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2001-06-01 00:00,mm,24.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2001-07-01 00:00,mm,135.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2001-08-01 00:00,mm,31,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2001-09-01 00:00,mm,66.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2001-10-01 00:00,mm,106.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2001-11-01 00:00,mm,229,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2001-12-01 00:00,mm,148.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2002-01-01 00:00,mm,64.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2002-02-01 00:00,mm,92.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2002-03-01 00:00,mm,384.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2002-04-01 00:00,mm,304.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2002-05-01 00:00,mm,123.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2002-06-01 00:00,mm,94.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2002-07-01 00:00,mm,32.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2002-08-01 00:00,mm,54.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2002-09-01 00:00,mm,129.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2002-10-01 00:00,mm,278.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2002-11-01 00:00,mm,96.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2002-12-01 00:00,mm,139.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2003-01-01 00:00,mm,11.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2003-02-01 00:00,mm,89.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2003-03-01 00:00,mm,167.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2003-04-01 00:00,mm,306.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2003-05-01 00:00,mm,126.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2003-06-01 00:00,mm,280.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2003-07-01 00:00,mm,25.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2003-08-01 00:00,mm,16,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2003-09-01 00:00,mm,184.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2003-10-01 00:00,mm,89.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2003-11-01 00:00,mm,90.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2003-12-01 00:00,mm,112.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2004-01-01 00:00,mm,3.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2004-02-01 00:00,mm,47,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2004-03-01 00:00,mm,38.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2004-04-01 00:00,mm,188.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2004-05-01 00:00,mm,168.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2004-06-01 00:00,mm,48.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2004-07-01 00:00,mm,68.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2004-08-01 00:00,mm,5.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2004-09-01 00:00,mm,127,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2004-10-01 00:00,mm,217.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2004-11-01 00:00,mm,102.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2004-12-01 00:00,mm,102.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2005-01-01 00:00,mm,120.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,2005-02-01 00:00,mm,88.8,Definitivo
