CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-03-01 00:00,mm,187.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-04-01 00:00,mm,94.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-05-01 00:00,mm,217.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-06-01 00:00,mm,43.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-07-01 00:00,mm,114.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-08-01 00:00,mm,155.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-09-01 00:00,mm,132.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-10-01 00:00,mm,209.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-11-01 00:00,mm,68.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1971-12-01 00:00,mm,70.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1972-01-01 00:00,mm,130,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1972-02-01 00:00,mm,76,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1972-03-01 00:00,mm,130.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1972-04-01 00:00,mm,261.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1972-05-01 00:00,mm,186.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1972-06-01 00:00,mm,46,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1972-07-01 00:00,mm,1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1972-08-01 00:00,mm,132.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1972-09-01 00:00,mm,96.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1972-10-01 00:00,mm,228.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1972-11-01 00:00,mm,155.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1972-12-01 00:00,mm,28.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1973-01-01 00:00,mm,35.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1973-02-01 00:00,mm,17.9,Definitivo
